FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,MEASURE,Misura,E_COICOP_REV_ISTAT,ECOICOP Rev. Istat,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2022-07,113,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2022-08,113.9,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2022-09,114.2,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2022-10,118.1,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2022-11,118.7,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2022-12,119,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2023-01,119.1,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2023-02,119.3,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2023-03,118.8,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2023-04,119.3,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2023-05,119.7,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2023-06,119.7,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2023-07,119.7,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2023-08,120.1,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2023-09,120.3,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2023-10,120.1,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2023-11,119.5,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2023-12,119.7,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2024-01,120.1,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2024-02,120.2,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2024-03,120.2,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2024-04,120.3,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2024-05,120.6,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2024-06,120.7,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2024-07,121.2,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2024-08,121.4,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2024-09,121.2,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2024-10,121.2,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2024-11,121.1,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2024-12,121.2,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2025-01,121.9,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2025-02,122.1,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2025-03,122.5,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2025-04,122.6,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2025-05,122.5,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2025-06,122.7,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2025-07,123.2,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2025-08,123.3,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2025-09,123.1,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2025-10,122.7,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2025-11,122.4,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,00,Indice generale,2025-12,122.6,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,01,-- prodotti alimentari e bevande analcoliche,2016-01,100.1,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,01,-- prodotti alimentari e bevande analcoliche,2016-02,100,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,01,-- prodotti alimentari e bevande analcoliche,2016-03,99.8,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,01,-- prodotti alimentari e bevande analcoliche,2016-04,100,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,01,-- prodotti alimentari e bevande analcoliche,2016-05,100.4,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,01,-- prodotti alimentari e bevande analcoliche,2016-06,100.5,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,01,-- prodotti alimentari e bevande analcoliche,2016-07,99.8,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,01,-- prodotti alimentari e bevande analcoliche,2016-08,100.1,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,01,-- prodotti alimentari e bevande analcoliche,2016-09,100,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,01,-- prodotti alimentari e bevande analcoliche,2016-10,100.1,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,01,-- prodotti alimentari e bevande analcoliche,2016-11,100.6,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,01,-- prodotti alimentari e bevande analcoliche,2016-12,101.1,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,01,-- prodotti alimentari e bevande analcoliche,2017-01,102.4,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,01,-- prodotti alimentari e bevande analcoliche,2017-02,103.8,,
M,Mensile,IT,Italia,39,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - dati mensili',4,Numeri indici,01,-- prodotti alimentari e bevande analcoliche,2017-03,102.6,,
